"verre_id","glass_name","source_url","nasal_engraving","glass_index","material","glass_supplier_name","tags"
671,Varilux XR 4D Eye Protect System Stylis,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1785-XRDesign67.tif.jpg"" alt=""Varilux XR 4D Eye Protect System Stylis:nasal"">","1.67",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""pi""]"
672,Varilux XR 4D Eye Protect System Lineis,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1786-XRDesign74.tif.jpg"" alt=""Varilux XR 4D Eye Protect System Lineis:nasal"">","1.74",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""e_accentdouble"", ""7"", ""4""]"
673,Essilor Symphony Activ FIT Orma et Orma Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1945-symphonyactiv.tif.jpg"" alt=""Essilor Symphony Activ FIT Orma et Orma Transitions:nasal"">","1.5",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""cercle"", ""e"", ""notemusique"", ""A""]"
674,Essilor Symphony Activ FIT Airwear et Airwear Transition,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1945-symphonyactiv.tif.jpg"" alt=""Essilor Symphony Activ FIT Airwear et Airwear Transition:nasal"">","1.59",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""cercle"", ""e"", ""notemusique"", ""A""]"
675,Essilor Symphony Activ FIT Ormix et Ormix Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1945-symphonyactiv.tif.jpg"" alt=""Essilor Symphony Activ FIT Ormix et Ormix Transitions:nasal"">","1.6",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""cercle"", ""e"", ""notemusique"", ""A""]"
676,Essilor Symphony Activ FIT Stylis et Stylis Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1945-symphonyactiv.tif.jpg"" alt=""Essilor Symphony Activ FIT Stylis et Stylis Transitions:nasal"">","1.67",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""cercle"", ""e"", ""notemusique"", ""A""]"
677,Essilor Symphony Activ FIT Lineis et Lineis Transitions,https://www.france-optique.com/gravures/fournisseur=521,"<img src=""https://si.france-optique.com/img/gravures/nasal/web_1945-symphonyactiv.tif.jpg"" alt=""Essilor Symphony Activ FIT Lineis et Lineis Transitions:nasal"">","1.74",<p>ORG</p>,Fournisseur : ESSILOR FR ...,"[""cercle"", ""e"", ""notemusique"", ""A""]"
678,"Premier 1,5",https://www.france-optique.com/fournisseur/2399-adn-optis,PRE5,"1.5",CR 39,Gravures de verres de ADN OPTIS,"[""PRE5""]"
679,Intuitiv Plus Mio OR15,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_12-nas-bbgr-01.tif.jpg,"1.5",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""+""]"
680,"Premier 1,6",https://www.france-optique.com/fournisseur/2399-adn-optis,PRE6,"1.61",MR8,Gravures de verres de ADN OPTIS,"[""PRE6""]"
681,Intuitiv Plus Mio Trivex,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_439-nas-bbgr-02.tif.jpg,"1.53",Trivex,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""\u00e9toile"", ""+""]"
682,"Classic 1,5",https://www.france-optique.com/fournisseur/2399-adn-optis,CLA5,"1.5",CR 39,Gravures de verres de ADN OPTIS,"[""CLA5""]"
683,Intuitiv Plus Mio Tilium,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_440-nas-bbgr-03.tif.jpg,"1.59",Polycarbonate,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""P"", ""+""]"
684,"Classic 1,6",https://www.france-optique.com/fournisseur/2399-adn-optis,CLA6,"1.61",MR8,Gravures de verres de ADN OPTIS,"[""CLA6""]"
685,Intuitiv Plus Mio OR16,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_441-nas-bbgr-04.tif.jpg,"1.6",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""+""]"
686,"Classic 1,67",https://www.france-optique.com/fournisseur/2399-adn-optis,CLA7,"1.67",MR10,Gravures de verres de ADN OPTIS,"[""CLA7""]"
687,Intuitiv Plus Mio OR167,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_443-nas-bbgr-06.tif.jpg,"1.67",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""7"", ""+""]"
688,"Morpho 1,5",https://www.france-optique.com/fournisseur/2399-adn-optis,MPH6,"1.5",CR39,Gravures de verres de ADN OPTIS,"[""MPH6""]"
689,Intuitiv Plus Mio OR174,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_445-nas-bbgr-08.tif.jpg,"1.74",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""+"", ""7"", ""4""]"
690,"Morpho 1,6",https://www.france-optique.com/fournisseur/2399-adn-optis,MPH6,"1.61",MR8,Gravures de verres de ADN OPTIS,"[""MPH6""]"
691,Intuitiv Plus OR15,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1097-nas-bbgr-165.tif.jpg,"1.5",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""+""]"
692,"Morpho 1,67",https://www.france-optique.com/fournisseur/2399-adn-optis,MPH7,"1.67",MR10,Gravures de verres de ADN OPTIS,"[""MPH7""]"
693,Intuitiv Plus Trivex,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1130-nas-bbgr-194.tif.jpg,"1.53",Trivex,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""\u00e9toile"", ""+""]"
694,"Sensation 1,5",https://www.france-optique.com/fournisseur/2399-adn-optis,SEN5,"1.5",CR39,Gravures de verres de ADN OPTIS,"[""SEN5""]"
695,Intuitiv Plus Tilium,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1129-nas-bbgr-195.tif.jpg,"1.59",Polycarbonate,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""P"", ""+""]"
696,"Sensation 1,6",https://www.france-optique.com/fournisseur/2399-adn-optis,SEN6,"1.61",MR8,Gravures de verres de ADN OPTIS,"[""SEN6""]"
697,Intuitiv Plus OR16,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1127-nas-bbgr-164.tif.jpg,"1.6",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""+""]"
698,"Sensation 1,67",https://www.france-optique.com/fournisseur/2399-adn-optis,SEN7,"1.67",MR10,Gravures de verres de ADN OPTIS,"[""SEN7""]"
699,Intuitiv Plus OR167,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1098-nas-bbgr-166.tif.jpg,"1.67",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""7"", ""+""]"
700,"Bifocal 1,5",https://www.france-optique.com/fournisseur/2399-adn-optis,BI5,"1.5",CR39,Gravures de verres de ADN OPTIS,"[""BI5""]"
701,Intuitiv Plus OR174,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1099-nas-bbgr-167.tif.jpg,"1.74",Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""+"", ""7"", ""4""]"
702,"Bifocal 1,6",https://www.france-optique.com/fournisseur/2399-adn-optis,BI6,"1.61",MR8,Gravures de verres de ADN OPTIS,"[""BI6""]"
703,Anateo Plus Mio OR15,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_454-nas-bbgr-17.tif.jpg,"1.5",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil""]"
704,"Bifocal 1,67",https://www.france-optique.com/fournisseur/2399-adn-optis,BI7,"1.67",MR10,Gravures de verres de ADN OPTIS,"[""BI7""]"
705,Anateo Plus Mio Trivex,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_455-nas-bbgr-18.tif.jpg,"1.53",Trivex,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""\u00e9toile"", ""+""]"
706,Proximit,https://www.france-optique.com/fournisseur/2399-adn-optis,PRX5,"1.5",CR39,Gravures de verres de ADN OPTIS,"[""PRX5""]"
707,Anateo Plus Mio Tilium,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_456-nas-bbgr-19.tif.jpg,"1.59",Polycarbonate,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""P"", ""+""]"
708,Proximit,https://www.france-optique.com/fournisseur/2399-adn-optis,PRX6,"1.61",MR8,Gravures de verres de ADN OPTIS,"[""PRX6""]"
709,Anateo Plus Mio OR16,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_457-nas-bbgr-20.tif.jpg,"1.6",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""6"", ""+""]"
710,Proximit,https://www.france-optique.com/fournisseur/2399-adn-optis,PRX7,"1.67",MR10,Gravures de verres de ADN OPTIS,"[""PRX7""]"
711,D,https://www.france-optique.com/fournisseur/2399-adn-optis,DET5,"1.5",ORG,Gravures de verres de ADN OPTIS,"[""DET5""]"
712,Anateo Plus Mio OR167,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_459-nas-bbgr-22.tif.jpg,"1.67",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""6"", ""7"", ""+""]"
713,D,https://www.france-optique.com/fournisseur/2399-adn-optis,DET6,"1.61",MR8,Gravures de verres de ADN OPTIS,"[""DET6""]"
714,Anateo Plus Mio OR174,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_460-nas-bbgr-23.tif.jpg,"1.74",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""+"", ""7"", ""4""]"
715,Anateo Plus OR15,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1109-nas-bbgr-177.tif.jpg,"1.5",Organique,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""+""]"
716,D,https://www.france-optique.com/fournisseur/2399-adn-optis,DET7,"1.67",MR10,Gravures de verres de ADN OPTIS,"[""DET7""]"
717,"Bifocal 1,74",https://www.france-optique.com/fournisseur/2399-adn-optis,B14,"1.74",MR174,Gravures de verres de ADN OPTIS,"[""B14""]"
718,Anateo Plus Trivex,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1110-nas-bbgr-178.tif.jpg,"1.53",Trivex,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""\u00e9toile"", ""+""]"
719,"Morpho 1,74",https://www.france-optique.com/fournisseur/2399-adn-optis,MPH4,"1.74",MR174,Gravures de verres de ADN OPTIS,"[""MPH4""]"
720,Anateo Plus Tilium,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1111-nas-bbgr-179.tif.jpg,"1.59",Polycarbonate,Produits optiques : BBGR OPTIQUE,"[""oeilprofil"", ""P"", ""+""]"
