id,nom_verre,gravure_nasale,matched_glass_name,matched_nasal_engraving,tags,match_score,indice_verre,materiaux,fournisseur,source_url
2129,EPSY 160,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 160,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['carré'],16.425531914893618,1.60,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2130,EPSY 160 Cozylens,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 160 Cozylens,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['losange'],16.425531914893618,1.60,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2131,EPSY 160 Sunlite,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 160 Sunlite,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['triangle'],16.425531914893618,1.60,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2132,EPSY 160 Sun,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 160 Sun,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['(s)'],16.425531914893618,1.60,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2133,EPSY 160 PolarPlus,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 160 PolarPlus,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,"['1', 'S']",16.425531914893618,1.60,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2134,EPSY POLY,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY POLY,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['losange'],16.425531914893618,1.59,POLY,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2135,EPSY 150,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 150,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['carré'],16.425531914893618,1.50,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2136,EPSY 154 Sunlite,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 154 Sunlite,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,"['l', 'triangle']",16.425531914893618,1.54,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2137,EPSY 150 Cozylens,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 150 Cozylens,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,['n_encoche'],16.425531914893618,1.50,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2138,EPSY 150 Sun,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 150 Sun,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,"['triangle', 'T']",16.425531914893618,1.50,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2139,EPSY 150 PolarPlus,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 150 PolarPlus,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,"['E', 'epsilone', 'S']",16.425531914893618,1.50,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2141,EPSY 174,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,EPSY 174,https://si.france-optique.com/img/gravures/nasal/web_852-oph-com_2019.tif.jpg,"['E', 'epsilone', 'S']",16.425531914893618,1.74,ORG,Fournisseur : OPHTALMIC  ...,https://www.france-optique.com/gravures/fournisseur=2395
2145,NATURAL 1.60 + NATURAL IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL 1.60 + NATURAL IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['sigma', 'P']",16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2146,NATURAL 1.67 + NATURAL IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL 1.67 + NATURAL IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['triangle', 'T']",16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2147,NATURAL 1.74,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL 1.74,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['triangle', 'T']",16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2148,NATURAL Short 1.5 & NATURAL Short IP 1.5  + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL Short 1.5 & NATURAL Short IP 1.5  + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['triangle', 'T']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2149,NATURAL Short 1.60 & NATURAL Short IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL Short 1.60 & NATURAL Short IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['triangle', 'T']",16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2150,NATURAL Short 1.67 & NATURAL Short IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL Short 1.67 & NATURAL Short IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['triangle', 'T']",16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2151,NATURAL Short 1.74,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,NATURAL Short 1.74,https://si.france-optique.com/img/gravures/nasal/web_97-nas-mont-royal-04.tif.jpg,"['triangle', 'T']",16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2152,Excellence Conduite HD 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_98-nas-mont-royal-05.tif.jpg,Excellence Conduite HD 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_98-nas-mont-royal-05.tif.jpg,"['balance', '6']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2153,Excellence Conduite Polix 1.59 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_1550-NewMontRoyal2.tif.jpg,Excellence Conduite Polix 1.59 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_1550-NewMontRoyal2.tif.jpg,"['V', '2', 'l']",16.58823529411765,1.59,POLY,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2154,Excellence Conduite 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_98-nas-mont-royal-05.tif.jpg,Excellence Conduite 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_98-nas-mont-royal-05.tif.jpg,['triangle'],16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2155,Excellence Conduite 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_98-nas-mont-royal-05.tif.jpg,Excellence Conduite 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_98-nas-mont-royal-05.tif.jpg,['triangle'],16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2156,Excellence Sport 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_101-nas-mont-royal-08.tif.jpg,Excellence Sport 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_101-nas-mont-royal-08.tif.jpg,"['E', 'epsilone', 'S']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2157,Excellence Sport Polix 1.59 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_1549-NewMontRoyal1.tif.jpg,Excellence Sport Polix 1.59 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_1549-NewMontRoyal1.tif.jpg,['triangle'],16.58823529411765,1.59,POLY,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2158,Excellence Sport 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_101-nas-mont-royal-08.tif.jpg,Excellence Sport 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_101-nas-mont-royal-08.tif.jpg,"['P', 'coureur']",16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2159,Excellence Sport 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_101-nas-mont-royal-08.tif.jpg,Excellence Sport 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_101-nas-mont-royal-08.tif.jpg,['T'],16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2160,VISIAZ XP Short TEK 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,VISIAZ XP Short TEK 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,"['4', 'coureur']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2161,"VISIAZ XP Short TEK 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,"VISIAZ XP Short TEK 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,"['T', '6']",16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2162,"VISIAZ XP Short TEK 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,"VISIAZ XP Short TEK 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,"['M', '6']",16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2163,"VISIAZ XP Short TEK 1,74",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,"VISIAZ XP Short TEK 1,74",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,['tortue'],16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2164,VISIAZ XP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,VISIAZ XP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,"['T', '6']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2165,"VISIAZ XP 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,"VISIAZ XP 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,['N'],16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2166,"VISIAZ XP 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,"VISIAZ XP 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,['ordi'],16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2167,"VISIAZ XP 1,74",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,"VISIAZ XP 1,74",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,"['2', 'tortue']",16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2168,VISIAZ XP Short 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,VISIAZ XP Short 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,"['3', 'tortue']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2169,"VISIAZ XP Short 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,"VISIAZ XP Short 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,"['4', 'tortue']",16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2170,"VISIAZ XP Short 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,"VISIAZ XP Short 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,['ordi'],16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2171,"VISIAZ XP Short 1,74",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,"VISIAZ XP Short 1,74",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,"['C', 'D']",16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2172,VISIAZ DG 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,VISIAZ DG 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,"['E', 'epsilone', 'S']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2173,"VISIAZ DG 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,"VISIAZ DG 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,"['neo', 'N', '4']",16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2174,"VISIAZ DG 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,"VISIAZ DG 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,"['M', '3', 'l']",16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2175,"VISIAZ DG 1,74",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,"VISIAZ DG 1,74",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,"['neo', 'N', '5']",16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2176,SURF 1.50 & SURF IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_125-nas-mont-royal-20.tif.jpg,SURF 1.50 & SURF IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_125-nas-mont-royal-20.tif.jpg,"['M', '3', 'l']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
2177,SURF Polix + Transitions,https://si.france-optique.com/img/gravures/nasal/web_124-nas-mont-royal-19.tif.jpg,SURF Short Polix 1.59 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_1015-nas-mont-royal-28.tif.jpg,"['neo', 'N', '4']",12.028913260219342,1.591,POLY,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
