id,source_url,nom_verre,gravure_nasale,indice_verre,materiaux,fournisseur
2162,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP Short TEK 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,1.67,ORG,Fournisseur : MONT-ROYAL
2163,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP Short TEK 1,74",https://si.france-optique.com/img/gravures/nasal/web_104-nas-mont-royal-11.tif.jpg,1.74,ORG,Fournisseur : MONT-ROYAL
2164,https://www.france-optique.com/gravures/fournisseur=1838,VISIAZ XP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,1.5,ORG,Fournisseur : MONT-ROYAL
2165,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,1.6,ORG,Fournisseur : MONT-ROYAL
2166,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,1.67,ORG,Fournisseur : MONT-ROYAL
2167,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP 1,74",https://si.france-optique.com/img/gravures/nasal/web_103-nas-mont-royal-10.tif.jpg,1.74,ORG,Fournisseur : MONT-ROYAL
2168,https://www.france-optique.com/gravures/fournisseur=1838,VISIAZ XP Short 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,1.5,ORG,Fournisseur : MONT-ROYAL
2169,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP Short 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,1.6,ORG,Fournisseur : MONT-ROYAL
2170,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP Short 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,1.67,ORG,Fournisseur : MONT-ROYAL
2171,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ XP Short 1,74",https://si.france-optique.com/img/gravures/nasal/web_105-nas-mont-royal-12.tif.jpg,1.74,ORG,Fournisseur : MONT-ROYAL
2172,https://www.france-optique.com/gravures/fournisseur=1838,VISIAZ DG 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,1.5,ORG,Fournisseur : MONT-ROYAL
2173,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ DG 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,1.6,ORG,Fournisseur : MONT-ROYAL
2174,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ DG 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,1.67,ORG,Fournisseur : MONT-ROYAL
2175,https://www.france-optique.com/gravures/fournisseur=1838,"VISIAZ DG 1,74",https://si.france-optique.com/img/gravures/nasal/web_106-nas-mont-royal-13.tif.jpg,1.74,ORG,Fournisseur : MONT-ROYAL
2176,https://www.france-optique.com/gravures/fournisseur=1838,SURF 1.50 & SURF IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_125-nas-mont-royal-20.tif.jpg,1.5,ORG,Fournisseur : MONT-ROYAL
2177,https://www.france-optique.com/gravures/fournisseur=1838,SURF Polix + Transitions,https://si.france-optique.com/img/gravures/nasal/web_124-nas-mont-royal-19.tif.jpg,1.591,POLY,Fournisseur : MONT-ROYAL
2178,https://www.france-optique.com/gravures/fournisseur=1838,SURF 1.60 & SURF IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_125-nas-mont-royal-20.tif.jpg,1.6,ORG,Fournisseur : MONT-ROYAL
2179,https://www.france-optique.com/gravures/fournisseur=1838,SURF 1.67 & SURF IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_125-nas-mont-royal-20.tif.jpg,1.67,ORG,Fournisseur : MONT-ROYAL
2180,https://www.france-optique.com/gravures/fournisseur=1838,SURF Short 1.50 & SURF Short IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_126-nas-mont-royal-21.tif.jpg,1.5,ORG,Fournisseur : MONT-ROYAL
2181,https://www.france-optique.com/gravures/fournisseur=1838,SURF Short Polix 1.59 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_1015-nas-mont-royal-28.tif.jpg,1.591,POLY,Fournisseur : MONT-ROYAL
2182,https://www.france-optique.com/gravures/fournisseur=1838,"SURF Short 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_126-nas-mont-royal-21.tif.jpg,1.6,ORG,Fournisseur : MONT-ROYAL
2183,https://www.france-optique.com/gravures/fournisseur=1838,"SURF Short 1,67 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_126-nas-mont-royal-21.tif.jpg,1.67,ORG,Fournisseur : MONT-ROYAL
2184,https://www.france-optique.com/gravures/fournisseur=1838,INITIAL 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_127-nas-mont-royal-22.tif.jpg,1.5,ORG,Fournisseur : MONT-ROYAL
2185,https://www.france-optique.com/gravures/fournisseur=1838,INITIAL 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_127-nas-mont-royal-22.tif.jpg,1.6,ORG,Fournisseur : MONT-ROYAL
2186,https://www.france-optique.com/gravures/fournisseur=1838,INITIAL 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_127-nas-mont-royal-22.tif.jpg,1.67,ORG,Fournisseur : MONT-ROYAL
2187,https://www.france-optique.com/gravures/fournisseur=1838,"INITIAL Short 1,50 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_127-nas-mont-royal-22.tif.jpg,1.5,ORG,Fournisseur : MONT-ROYAL
2188,https://www.france-optique.com/gravures/fournisseur=1838,"INITIAL Short 1,60 + Transitions",https://si.france-optique.com/img/gravures/nasal/web_127-nas-mont-royal-22.tif.jpg,1.6,ORG,Fournisseur : MONT-ROYAL
