id,nom_verre,materiaux,indice,fournisseur,gravure_nasale,source_url,created_at
87,Maxima-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,mxU6,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:36.930000
88,Maxima-U 1.5,ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,1.5,INDO OPTICAL France,mxU,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:36.943333
89,Maxima Sport-U 1.67,ORG Couleur - Pola,1.67,INDO OPTICAL France,mxsU67,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:36.956666
90,Maxima Sport-U 1.6,ORG Couleur - Pola,1.6,INDO OPTICAL France,mxsU6,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:36.970000
91,Maxima Sport-U 1.5,ORG Couleur - Pola,1.5,INDO OPTICAL France,mxsU,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:36.986666
92,EasyMax-U 1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,1.67,INDO OPTICAL France,esU67,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.000000
93,EasyMax-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,esU6,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.010000
94,EasyMax-U 1.5,ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,1.5,INDO OPTICAL France,esU,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.023333
95,Ingenia-U 1.74,ORG AR Blanc - Transitions,1.74,INDO OPTICAL France,InU74,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.036666
96,Ingenia-U 1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,1.67,INDO OPTICAL France,InU67,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.050000
97,Ingenia-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,InU6,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.060000
98,Ingenia-U 1.5,ORG AR blanc/couleur - Trans. - Photo - Pola,1.5,INDO OPTICAL France,InU,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.076666
99,Activa-U 1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,1.67,INDO OPTICAL France,acU67,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.086666
100,Activa-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,acU6,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.100000
101,Activa-U 1.5,ORG AR blanc/couleur - Trans. - Photo - Pola,1.5,INDO OPTICAL France,acU,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.113333
102,Superkid Miofocal 1.5 N-SuperClear,ORG,1.5,INDO OPTICAL France,SMF,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.126666
103,Superkid Miofocal 1.5 eNGY Blue IR,ORG,1.5,INDO OPTICAL France,SMF,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.136666
104,Superkid Miofocal 1.6 N-SuperClear,ORG,1.6,INDO OPTICAL France,SMF6,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.150000
105,Superkid Miofocal 1.6 eNGY Blue IR,ORG,1.6,INDO OPTICAL France,SMF6,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.163333
106,Superkid Miofocal 1.67 N-SuperClear,ORG,1.67,INDO OPTICAL France,SMF67,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.176666
107,Superkid Miofocal 1.67 eNGY Blue IR,ORG,1.67,INDO OPTICAL France,SMF67,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.190000
108,Superkid Miofocal 1.74 N-SuperClear,ORG,1.74,INDO OPTICAL France,SMF74,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.200000
109,Superkid Miofocal 1.74 eNGY Blue IR,ORG,1.74,INDO OPTICAL France,SMF74,https://www.france-optique.com/gravures/fournisseur=1958,2025-06-13 13:26:37.210000
110,Yuniku Progressive Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,YP_7,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.226666
111,MyStyle V+ EyeGenius Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.240000
112,MyStyle V+ EyeGenius Eyas 1.60 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,ORG Blanc / PHO,1.6,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.250000
113,MyStyle V+ EyeGenius PNX 1.53 UV2.0 (11 à 16mm) Blanc/Sensity 2,ORG Blanc / PHO,1.53,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.260000
114,MyStyle V+ EyeGenius Organique 1.50 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,ORG Blanc / PHO,1.5,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.273333
115,LifeStyle 3i Indoor/Outdoor/Urban Eyvia 1.74 UV2.0 (11 à 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,LI_7I ou LI_7O ou LI_7U,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.286666
116,LifeStyle 3 Indoor/Outdoor/Urban Eyvia 1.74 UV2.0 (11 à 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,L_7I ou L_7O ou L_7U,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.296666
117,Balansis Eyvia 1.74 UV2.0 (11mm - 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,B17 ou B47,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.310000
118,Daynamic 1.53 (11mm - 14mm) Polarisant,ORG POLA,1.53,Fournisseur : HOYA Visio ...,DP1X ou DP4X,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.323333
119,Amplitude Plus Eynoa 1.67 UV2.0 (11mm - 15mm) Blanc/Sensity 2/Sensity Dark/Sensity Fast,ORG Blanc/ PHO,1.67,Fournisseur : HOYA Visio ...,DA15 ou DA55,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.336666
120,Yuniku Digital T5/T9/T13 Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,YD7,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.350000
121,Yuniku Single Vision Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,YS7,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.360000
122,Nulux iDentity V+ EyeGenius Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,EG,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.373333
123,Sync IIIi T5/T9/T13 Eyvia 1.74 UV2.0 Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,SYi7,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.386666
124,MySelf Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,MY_7,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.396666
125,Balansis i Eyvia 1.74 UV2.0 (11mm - 14mm) Blanc,ORG Blanc,1.74,Fournisseur : HOYA Visio ...,Bi17 ou Bi47,https://www.france-optique.com/gravures/fournisseur=130,2025-06-13 13:26:37.410000
