id,source_url,nom_verre,gravure_nasale,indice,materiaux,fournisseur,created_at
42,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/22 1.5,5N0,1.5,ORG AR blanc/couleur - Trans. - XTRActive - Photo,INDO OPTICAL France,2025-06-13 13:22:12.483333
43,https://www.france-optique.com/gravures/fournisseur=1958,Adapta-Short 1.6,Aps6,1.6,ORG AR blanc/couleur - Trans. - Photo,INDO OPTICAL France,2025-06-13 13:22:12.536666
44,https://www.france-optique.com/gravures/fournisseur=1958,Adapta-Short 1.5,Aps5,1.5,ORG AR blanc/couleur - Trans. - XTRActive - Photo,INDO OPTICAL France,2025-06-13 13:22:12.593333
45,https://www.france-optique.com/gravures/fournisseur=1958,Work Indofin 1.67/Work Indoor If-1.67,wr67 /wir67,1.67,ORG,INDO OPTICAL France,2025-06-13 13:22:12.646666
46,https://www.france-optique.com/gravures/fournisseur=1958,Work Indofin 1.6/Work Indoor If-1.6,wr6 / wir6,1.6,ORG,INDO OPTICAL France,2025-06-13 13:22:12.700000
47,https://www.france-optique.com/gravures/fournisseur=1958,Work Superfin 1.5/Work Indoor Sf-1.5,wr / wir,1.5,ORG,INDO OPTICAL France,2025-06-13 13:22:12.753333
48,https://www.france-optique.com/gravures/fournisseur=1958,Work Indoor If-1.6,wir6,1.6,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:12.803333
49,https://www.france-optique.com/gravures/fournisseur=1958,Work Indoor Sf-1.5,wir,1.5,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:12.853333
50,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.67,dv67,1.67,ORG / Day-Night,INDO OPTICAL France,2025-06-13 13:22:12.906666
51,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.67 Polar,dvP67,1.67,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:12.960000
52,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.6,dv6,1.6,ORG / Day-Night,INDO OPTICAL France,2025-06-13 13:22:13.010000
53,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.6 Polar,dvP6,1.6,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.063333
54,https://www.france-optique.com/gravures/fournisseur=1958,Drive Superfin 1.5,dv,1.5,ORG / Day-Night / XTRActive,INDO OPTICAL France,2025-06-13 13:22:13.116666
55,https://www.france-optique.com/gravures/fournisseur=1958,Drive Sf-1.5 Polar,dvP,1.5,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.170000
56,https://www.france-optique.com/gravures/fournisseur=1958,Admira 1.8 Mineral,18,1.8,MIN,INDO OPTICAL France,2025-06-13 13:22:13.223333
57,https://www.france-optique.com/gravures/fournisseur=1958,Admira 1.6 Mineral,H,1.6,MIN Blanc / Photo,INDO OPTICAL France,2025-06-13 13:22:13.276666
58,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.74,mf74,1.74,ORG AR Blanc - Trans.,INDO OPTICAL France,2025-06-13 13:22:13.330000
59,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.67,mf67,1.67,ORG AR Blanc/Couleur - Trans. - Photo.,INDO OPTICAL France,2025-06-13 13:22:13.386666
60,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.67 Polar,mfP67,1.67,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.453333
61,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.6,mf6,1.6,ORG AR Blanc/Couleur - Trans. - Photo.,INDO OPTICAL France,2025-06-13 13:22:13.510000
62,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.6 Polar,mfP6,1.6,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.566666
63,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.5,mf,1.5,ORG AR Blanc/Couleur - Trans. - XTRActive - Photo.,INDO OPTICAL France,2025-06-13 13:22:13.613333
64,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.5 Polar,mfP,1.5,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.666666
65,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.67 Polar N10,mfsP67,1.67,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.716666
66,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.67 Couleur,mfs67,1.67,ORG*,INDO OPTICAL France,2025-06-13 13:22:13.770000
67,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.6 Polar N10,mfsP6,1.6,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.823333
68,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.6 Couleur,mfs6,1.6,ORG*,INDO OPTICAL France,2025-06-13 13:22:13.873333
69,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.5 Polar N10,mfsP,1.5,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:13.926666
70,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.5 Couleur,mfs,1.5,ORG*,INDO OPTICAL France,2025-06-13 13:22:13.983333
71,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.67,PY67/P8Y67,1.67,ORG AR blanc - Trans.,INDO OPTICAL France,2025-06-13 13:22:14.036666
72,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.67 Polar,PYP67/P8YP67,1.67,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:14.093333
73,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.6,PY6/P8Y6,1.6,ORG AR blanc - Trans.,INDO OPTICAL France,2025-06-13 13:22:14.143333
74,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.6 Polar,PYP6/P8YP6,1.6,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:14.193333
75,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.5,P/P8,1.5,ORG AR blanc/couleur - Trans. - XTRActive,INDO OPTICAL France,2025-06-13 13:22:14.253333
76,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.5 Polar,PP/P8P,1.5,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:14.303333
77,https://www.france-optique.com/gravures/fournisseur=1958,Indofin 1.67AS IndoPolar,R,1.67,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:14.356666
78,https://www.france-optique.com/gravures/fournisseur=1958,Indofin 1.6 IndoPolar,R,1.6,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:14.410000
79,https://www.france-optique.com/gravures/fournisseur=1958,Superfin IndoPolar,R,1.5,ORG Pola,INDO OPTICAL France,2025-06-13 13:22:14.460000
80,https://www.france-optique.com/gravures/fournisseur=1958,Lecta Superfin,L,1.5,ORG,INDO OPTICAL France,2025-06-13 13:22:14.510000
81,https://www.france-optique.com/gravures/fournisseur=1958,Basic/16 1.5,5c,1.5,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:14.563333
82,https://www.france-optique.com/gravures/fournisseur=1958,Basic/19 1.5,5b,1.5,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:14.610000
83,https://www.france-optique.com/gravures/fournisseur=1958,Basic/16 1.6,6c,1.6,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:14.663333
84,https://www.france-optique.com/gravures/fournisseur=1958,Basic/19 1.6,6b,1.6,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:14.716666
85,https://www.france-optique.com/gravures/fournisseur=1958,Basic/16 1.67,7c,1.67,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:14.766666
86,https://www.france-optique.com/gravures/fournisseur=1958,Basic/19 1.67,7b,1.67,ORG / AR Blanc,INDO OPTICAL France,2025-06-13 13:22:14.823333
