id,nom,materiaux,indice,fournisseur,gravure,url_source,variante,hauteur_min,hauteur_max,protection,photochromic,tags,image_gravure
59,UNImax Sport 1.6 Polar N10,ORG Pola,1.6,INDO OPTICAL France,mfsP6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
60,UNImax Sport 1.6 Couleur,ORG*,1.6,INDO OPTICAL France,mfs6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
61,UNImax Sport 1.5 Polar N10,ORG Pola,1.5,INDO OPTICAL France,mfsP,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
62,UNImax Sport 1.5 Couleur,ORG*,1.5,INDO OPTICAL France,mfs,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
63,Forza 1.67,ORG AR blanc - Trans.,1.67,INDO OPTICAL France,PY67/P8Y67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
64,Forza 1.67 Polar,ORG Pola,1.67,INDO OPTICAL France,PYP67/P8YP67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
65,Forza 1.6,ORG AR blanc - Trans.,1.6,INDO OPTICAL France,PY6/P8Y6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
66,Forza 1.6 Polar,ORG Pola,1.6,INDO OPTICAL France,PYP6/P8YP6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
67,Forza 1.5,ORG AR blanc/couleur - Trans. - XTRActive,1.5,INDO OPTICAL France,P/P8,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
68,Forza 1.5 Polar,ORG Pola,1.5,INDO OPTICAL France,PP/P8P,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
69,Indofin 1.67AS IndoPolar,ORG Pola,1.67,INDO OPTICAL France,R,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
70,Indofin 1.6 IndoPolar,ORG Pola,1.6,INDO OPTICAL France,R,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
71,Superfin IndoPolar,ORG Pola,1.5,INDO OPTICAL France,R,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
72,Lecta Superfin,ORG,1.5,INDO OPTICAL France,L,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
73,Basic/16 1.5,ORG / AR Blanc,1.5,INDO OPTICAL France,5c,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
74,Basic/19 1.5,ORG / AR Blanc,1.5,INDO OPTICAL France,5b,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
75,Basic/16 1.6,ORG / AR Blanc,1.6,INDO OPTICAL France,6c,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
76,Basic/19 1.6,ORG / AR Blanc,1.6,INDO OPTICAL France,6b,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
77,Basic/16 1.67,ORG / AR Blanc,1.67,INDO OPTICAL France,7c,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
78,Basic/19 1.67,ORG / AR Blanc,1.67,INDO OPTICAL France,7b,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
79,Basic/16 1.74,ORG / AR Blanc,1.74,INDO OPTICAL France,8c,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
80,Basic/19 1.74,ORG / AR Blanc,1.74,INDO OPTICAL France,8b,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
81,MaxView-U 1.74,ORG AR blanc - Trans.,1.74,INDO OPTICAL France,mWU74,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
82,MaxView-U 1.67,ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,1.67,INDO OPTICAL France,mWU67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
83,MaxView-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,mWU6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
84,MaxView-U 1.5,ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,1.5,INDO OPTICAL France,mWU,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
85,Maxima-U 1.74,ORG AR blanc/couleur - Trans.,1.74,INDO OPTICAL France,mxU74,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
86,Maxima-U 1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,1.67,INDO OPTICAL France,mxU67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
87,Maxima-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,mxU6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
88,Maxima-U 1.5,ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,1.5,INDO OPTICAL France,mxU,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
89,Maxima Sport-U 1.67,ORG Couleur - Pola,1.67,INDO OPTICAL France,mxsU67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
90,Maxima Sport-U 1.6,ORG Couleur - Pola,1.6,INDO OPTICAL France,mxsU6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
91,Maxima Sport-U 1.5,ORG Couleur - Pola,1.5,INDO OPTICAL France,mxsU,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
92,EasyMax-U 1.67,ORG AR blanc/couleur - Trans. - Photo - Pola,1.67,INDO OPTICAL France,esU67,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
93,EasyMax-U 1.6,ORG AR blanc/couleur - Trans. - Photo - Pola,1.6,INDO OPTICAL France,esU6,https://www.france-optique.com/gravures/fournisseur=1958,,,,False,False,,
